"Net generation for conventional hydroelectric Net generation : conventional hydroelectric : all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=04&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.HYC-US-99.M~ELEC.GEN.HYC-CA-99.M~ELEC.GEN.HYC-OR-99.M~ELEC.GEN.HYC-WA-99.M&columnchart=ELEC.GEN.HYC-US-99.M~ELEC.GEN.HYC-CA-99.M~ELEC.GEN.HYC-OR-99.M~ELEC.GEN.HYC-WA-99.M&map=ELEC.GEN.HYC-US-99.M&freq=M&start=200101&end=202107&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Oct 18 2021 13:19:01 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
Units: thousand megawatthours
,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
"US-AK",104.549,90.111,99.843,84.615,85.13,118.354,120.671,123.284,154.816,134.918,102.481,126.892,118.944,111.686,114.826,111.309,108.504,116.831,119.156,116.574,108.927,121.399,148.866,142.329,135.163,125.679,148.011,119.055,116.189,103.622,118.033,131.476,140.998,155.788,147.737,140.786,123.8828,115.07574,128.54436,110.41588,96.47872,102.08753,137.438,159.83081,145.61355,124.59239,131.21296,122.84727,127.52592,117.65368,126.60894,114.42044,115.66795,126.52223,131.82723,129.96237,120.72374,121.40901,113.98682,117.63368,106.45306,93.71957,103.76271,101.77714,101.3007,104.35154,97.90496,100.88208,95.23656,108.89976,105.7632,103.55573,121.69202,126.97988,131.63986,124.73943,117.72516,115.80647,116.99256,103.06159,77.07135,79.11501,82.70497,93.69471,104.10476,113.19302,109.31122,104.79203,77.43702,99.05475,71.5788,86.41374,94.17085,100.04256,83.02282,128.67943,89.47008,96.92014,102.47683,105.03931,79.22686,104.15774,103.32367,113.24935,91.0921,145.42186,135.40402,157.96246,133.76537,95.67963,119.57656,132.90403,108.62878,127.85232,138.20123,127.36124,108.6667,108.31353,108.55885,123.63317,134.65267,129.51778,149.56279,101.21315,100.66258,92.96274,87.34546,86.9866,91.6854,88.11801,133.00878,149.02979,162.65188,141.69677,134.24255,107.33868,107.24805,110.93024,73.65732,118.21942,123.76414,194.17699,153.82364,147.29533,129.98659,121.52862,111.69029,111.99535,101.8154,90.3417,93.93071,107.4425,91.28926,200.69968,131.21585,143.54348,141.38033,127.52143,115.30298,123.72628,108.11989,100.4999,94.99711,118.14595,182.83221,132.98952,136.92452,156.29788,151.91498,127.64831,105.46717,127.86383,124.17444,107.55719,94.70966,110.75521,135.23018,136.12882,170.31507,177.16414,157.23915,129.65908,165.72587,104.00962,68.89232,79.86847,103.63607,150.39629,196.89722,182.597,152.26412,167.96679,148.83386,133.47348,167.90466,163.48,175.88419,170.01821,139.96791,114.09675,104.14204,93.3073,106.89362,125.66799,150.88377,149.51892,151.95883,160.36705,179.62801,163.62245,139.52235,120.98048,103.44864,102.12479,119.17544,122.99428,134.70768,126.00488,147.54174,151.20246,180.63072,157.68508,136.20925,130.73967,104.77743,104.49019,121.64741,127.72949,155.99232,172.97882,136.91001,116.4673,198.43962,198.09987,180.78045,142.12952,109.17265,110.5531,139.51784,146.33813,179.1457,150.13185,120.41195,107.6245,155.94919,175.17295,141.37036
"US-AL",727.118,922.21,1299.668,696.398,394.587,696.015,502.258,667.117,556.309,489.041,478.542,927.119,947.959,785.904,775.442,664.171,728.787,305.166,355.672,372.825,478.577,584.882,1227.794,1597.608,969.089,1189.327,1392.925,864.117,1695.838,1162.248,1296.513,921.442,656.474,595.681,837.987,1083.226,1046.27063,1353.02066,890.0198,294.3382,344.47869,592.34967,675.79487,560.35441,1066.37395,790.42999,1341.50164,1671.2885,1078.32973,1042.03896,1192.86074,1071.22033,722.1754,765.19249,1135.031,742.55467,588.57791,499.49485,525.81,781.29492,924.03505,915.7868,713.90074,623.10342,592.53712,370.6587,365.44243,447.32786,399.61141,478.59181,846.49788,574.29278,1063.72102,490.52822,395.9503,224.74466,231.532,299.196,292.26349,375.52649,213.25809,203.26877,178.81531,167.30965,584.14643,753.10916,887.74658,520.30875,414.91737,289.22989,276.96137,478.70163,263.16138,258.96441,239.8979,1169.00315,1282.88022,541.41463,1167.13591,1002.76397,1299.71607,527.94902,376.23987,499.02013,921.92696,1516.78974,1494.94308,1904.5934,1412.51682,1502.15433,1175.91791,566.20275,805.18423,475.10581,311.90902,437.05946,340.39363,341.91249,486.19077,849.70678,777.64952,626.1891,1547.58241,1405.77,498.37613,371.96043,403.28138,386.38184,525.74066,394.95181,671.06779,1274.64694,1474.06879,1000.14377,1111.53697,225.95925,199.89747,277.74637,330.96367,469.79069,467.75661,540.72259,531.40787,805.22897,1458.41529,1472.86503,1230.31893,1071.43498,1398.84965,895.02189,1229.86004,813.42463,611.78575,607.9312,626.0449,1483.22572,1384.14904,1269.14365,898.42456,950.5654,538.81702,563.56686,423.26508,445.34674,430.13688,755.7161,788.54728,1019.1934,1245.56575,799.69176,1156.33226,1161.14864,420.9505,390.09119,668.36916,498.92278,368.61046,654.89518,1024.09471,1473.13185,1665.00281,1497.66562,1039.90611,523.17948,246.19634,245.01536,248.13506,372.72467,247.52329,231.76156,219.73485,447.95786,870.77494,720.09483,920.58937,882.54335,1017.19716,895.56824,760.30486,641.84724,568.16502,565.7926,679.45212,714.99328,889.122,991.33878,1031.09791,1037.65263,1086.08899,1041.18767,848.70394,758.1703,739.97839,729.24566,957.5569,1032.99585,1108.62192,1008.62678,1093.07662,1043.1498,1183.70129,1002.95942,877.22386,823.49827,659.60633,664.51108,869.7704,1070.47024,1219.67811,1184.1552,1242.06144,1194.02091,1118.58779,877.85784,875.59518,865.6807,739.84578,649.89128,905.25426,1074.0052,1024.54387,970.55368,1145.17281,900.02429,820.40506,814.06194,840.9979
"US-AR",272.026,287.399,324.613,206.341,159.075,256.366,255.405,179.169,119.673,127.479,112.558,248.148,230.87,373.704,340.098,379.227,272.58,367.328,392.475,349.646,270.963,189.923,127.723,141.292,240.165,211.476,245.386,209.994,249.23,358.007,242.595,254.433,185.024,133.258,146.457,178.594,224.19596,195.86633,320.33129,295.26633,361.38087,440.86053,523.26095,304.51345,123.43836,150.23456,268.4404,435.64998,431.37432,424.28069,313.29076,367.30308,196.7438,273.92606,328.76286,252.09968,215.65468,96.09098,90.10902,92.88006,81.34225,92.79835,104.29869,99.98447,234.45038,135.11041,145.48671,151.22799,81.69689,84.05499,124.44562,215.66127,455.73271,482.03428,226.34689,293.72474,224.10132,257.23496,212.50678,350.77135,249.02139,186.64198,101.35249,197.28412,198.9738,244.97966,318.61494,437.93304,436.10325,471.49616,565.43191,530.25885,344.49193,488.3208,410.26166,213.43102,254.25516,449.96838,256.54816,412.28705,233.31598,407.20151,413.97528,319.50327,262.40837,307.94167,303.30854,571.99264,638.3942,463.61322,352.21832,379.0372,270.07178,473.31744,375.93564,259.36513,144.69889,77.83127,90.86432,133.6146,156.04574,150.69103,175.24741,150.43914,349.83056,371.73642,309.8725,353.49372,268.101,119.06308,158.40065,394.92377,291.19823,342.72919,320.44096,501.37386,235.29602,100.71089,100.29731,64.08337,70.29206,61.99976,48.14462,61.90574,108.02941,104.4705,147.86393,250.89934,276.88897,399.03562,199.93154,371.13661,285.27376,136.73452,148.37943,226.09682,294.87668,169.31092,250.60212,322.59018,210.53901,319.67587,277.72841,204.35291,142.00768,168.83971,127.0154,152.23712,206.75897,161.02304,268.57726,341.61605,260.77092,254.37024,338.36455,490.19579,362.75381,291.24018,183.85655,409.6676,485.0985,555.58746,415.16012,267.50197,227.46101,316.77956,309.76805,236.9802,271.23136,241.35569,107.6649,135.39718,263.76846,234.53051,295.98605,294.82135,311.1686,305.8673,255.59097,208.38434,188.52333,169.36554,191.53347,223.76909,268.53878,266.4014,272.82737,286.10948,320.08375,293.2553,256.45649,223.76178,187.32348,183.65107,217.20751,233.15861,383.62907,625.26883,233.9613,452.95724,528.19314,319.89922,512.64846,228.34639,242.25521,227.4099,209.86481,170.26444,385.91788,407.06262,417.44856,399.16422,401.55513,337.04194,347.81831,349.96214,291.38264,242.41069,314.01968,347.07157,370.10207,317.08894,380.1473,335.07652,346.29102,324.0905,334.42791
"US-AZ",607.969,526.752,727.183,704.075,671.801,690.906,769.449,715.875,494.685,499.745,539.366,675.759,687.079,621.267,777.41,700.946,701.868,720.737,776.476,736.991,454.697,401.155,384.466,464.087,536.307,490.669,655.807,724.047,634.588,691.897,710.085,704.927,467.111,466.715,478.548,514.283,620.15389,659.63868,738.26199,645.35125,630.14935,683.04053,724.57494,652.94163,434.29736,356.85578,410.50892,417.37268,431.67044,383.14976,479.41182,579.69576,625.27152,644.44893,684.79699,632.25498,435.39921,440.93288,579.50581,493.52611,572.15809,557.35677,523.64523,613.51361,621.65245,705.58852,682.61006,627.85318,458.54998,440.84113,500.08343,489.05155,457.74508,405.26314,533.57941,597.73618,577.21016,681.37591,682.75254,622.91821,485.77897,468.56149,525.29203,559.45787,636.80152,551.38988,688.75249,672.03923,722.18685,645.64389,682.09215,651.25254,515.48956,514.58619,516.06451,489.6032,626.08604,489.79959,657.79683,618.47103,548.37759,504.88488,606.76523,569.84757,436.97906,394.5534,431.35307,542.43071,553.83978,382.13486,549.95365,556.71867,590.04762,548.27406,654.60337,619.73911,460.64195,495.10485,625.62831,585.47379,589.46517,597.58665,763.50384,792.80409,822.49235,933.3037,1027.84957,986.06586,670.33912,621.75988,680.4016,688.52018,639.78385,577.51612,651.46004,647.87533,629.41839,618.97239,638.21461,590.50128,416.0548,352.02537,477.61545,477.49639,554.55265,475.10092,517.65037,517.04218,518.58858,607.55886,597.98178,543.98664,414.14804,403.48864,370.96315,393.59619,498.61435,440.46865,518.91129,526.72407,483.74398,535.72112,645.49464,573.80041,466.96712,429.11603,485.5561,513.14324,534.98548,382.70721,604.55352,567.94501,564.134,602.90147,712.13576,616.72199,558.3954,439.86621,419.32866,532.0473,618.70889,588.83139,662.32229,624.20063,590.72788,641.01639,715.54833,654.16872,566.04637,444.63621,466.97172,594.58418,585.7183,515.75598,639.22513,594.34781,597.60326,609.55753,679.40623,651.17385,521.79706,470.42892,495.81473,471.06223,533.6156,561.47634,676.90068,631.81073,620.9508,644.30586,657.99414,657.01569,515.22543,493.03609,486.15335,503.75731,453.01358,451.11633,493.83948,477.2331,537.62211,611.35567,673.07692,668.84104,504.70358,474.95809,428.52182,430.15728,520.2555,511.86366,516.955,520.6026,610.68999,598.11387,611.01069,619.39694,450.42,507.12003,491.501,502.61626,559.06608,462.77508,561.87839,493.93951,541.87099,539.4949,533.44548
"US-CA",1590.096,1290.013,1764.772,2096.459,3045.222,3053.895,3002.483,2809.357,2028.142,1819.154,1357.031,1685.15,2515.525,1920.923,2452.479,2913.902,3462.756,3379.494,3282.221,3068.641,2400.171,1864.41,1771.023,2109.083,2600.211,2673.406,2579.209,2802.478,4508.149,4225.802,4039.974,3480.517,2830.332,2208.753,1942.336,2479.536,2741.77391,2509.34737,3562.45403,3441.20402,3182.26599,3449.19562,3618.2425,3142.13446,2368.41503,2032.19437,1819.51656,2274.18543,2308.10208,2568.14222,3045.17142,3500.96745,4841.95492,4767.09041,4473.208,3644.57343,2803.09979,2462.83126,2172.83664,3043.88895,4488.0438,3790.67102,4821.08698,5382.24527,5827.18506,5278.66409,4647.85744,3855.32399,2790.30735,2324.30919,2344.88684,2496.79906,1988.47514,1720.67947,2295.721,2250.79169,2987.1797,2741.46707,3385.22089,2865.34375,2138.80739,1784.06291,1716.47228,1453.5296,1552.9235,1228.96927,1438.59375,2719.98795,3231.43957,2745.38712,3336.29684,3422.55571,1712.70736,1097.85055,786.90439,854.19361,1088.02416,1445.55098,2288.92915,2713.53251,3714.06838,3358.51427,3700.58463,3018.10698,2248.05186,1784.18651,1237.90201,1290.58489,1327.38721,1447.22999,2038.50112,2580.91644,3945.31516,4440.19227,4175.50371,3519.69734,2642.99946,1974.56866,2070.319,3268.23966,3273.55853,2386.62957,3901.14842,4609.33527,5120.27498,4978.9051,4993.19465,4039.76216,3241.719,2276.98544,1959.49418,1776.45959,1334.53877,1105.48137,1493.43938,2307.13938,3471.66415,3050.11959,3281.73999,2974.87954,2439.49288,1890.18729,1521.07525,1967.61283,1693.72728,1503.70574,1786.29115,2253.96876,2707.41436,2861.11788,3192.66634,2628.51037,1766.08468,1409.26611,1033.06189,918.78492,811.76982,726.16951,954.4932,1424.29573,2078.63681,2226.01979,2326.13635,1902.80319,1253.36986,1007.92609,831.80176,987.91805,853.65856,895.99057,899.49755,981.91245,1254.51461,1544.89917,1908.29799,1689.51715,1375.12913,904.97509,639.63176,860.47407,1075.59189,1533.08474,2769.87299,2759.7232,3200.42192,3317.28576,3447.62437,2867.44894,2296.84893,1717.53705,1660.40323,2296.27847,3759.43335,3522.70097,4457.29504,4383.89141,4982.14792,4450.79203,4326.3214,3864.63735,2883.52371,2044.87604,1812.82778,1874.69419,1606.1012,1196.93824,1852.25953,3226.10319,3114.16384,2893.03845,3184.09717,2844.12162,2300.82115,1478.63679,1185.62188,1448.76351,1461.83011,2182.70083,4314.25951,4643.06922,4580.91878,4603.69533,4223.26273,3786.91243,2796.11333,2156.68357,1639.51093,1965.81192,1555.99591,1143.9329,1222.94622,1984.81775,2748.11508,2535.08921,2630.38994,2626.7797,1728.29512,1381.90791,1030.17702,853.32216,715.06878,771.67891,977.59816,1264.63241,1447.53281,1544.30357,1867.45413
"US-CO",111.346,86.63,98.212,95.425,151.592,175.294,161.61,188.28,145.638,119.924,77.601,83.146,105.925,84.731,96.342,112.207,152.696,150.506,146.596,132.929,71.768,36.152,62.635,56.519,81.364,56.925,48.959,70.037,100.847,140.319,175.878,187.116,145.481,77.369,77.291,100.612,84.40025,71.01432,75.73382,89.32515,106.21921,87.23849,175.38493,154.30821,139.72256,88.87467,35.01117,87.43221,125.00029,118.35465,134.9461,126.00208,167.01603,146.50986,146.84693,127.49662,123.59621,85.47128,54.58123,59.47472,145.25276,128.65106,146.94126,166.19362,157.53386,194.24203,210.5627,189.86705,144.08931,93.48291,70.93083,143.45964,179.91147,119.19288,124.9637,118.63313,115.43165,101.91142,163.37574,207.3234,204.82433,185.72107,111.46703,96.77681,179.95474,115.9311,209.23741,191.17116,232.03016,183.72153,226.73984,128.74303,217.7427,185.90483,3.4429,164.70758,160.71797,147.98793,197.97666,146.08951,228.61749,213.69627,198.10086,65.30037,216.17131,171.05283,10.13082,129.88199,165.98527,176.18092,181.6545,167.75304,64.73212,199.04924,193.34976,121.41847,212.45586,24.92273,25.88955,44.87214,204.49822,192.90217,220.54569,223.99838,252.37346,229.95501,240.62532,58.58261,190.60638,224.25057,25.95828,18.32532,113.67659,72.15151,134.29688,101.71026,158.47461,139.75676,165.31447,170.10127,156.84678,182.76064,12.84581,89.2734,164.20971,142.24374,143.29064,115.31339,155.57412,163.16675,128.20216,29.91471,54.142,14.18101,13.51457,89.11923,186.95993,188.5941,219.98883,213.57978,222.8325,185.95272,171.00337,74.81261,160.3388,47.99875,9.12261,88.61692,203.22701,135.36433,116.62265,35.45108,140.69569,251.51504,168.63933,117.42898,122.31616,131.05409,13.55711,184.28953,222.37504,210.96322,221.82985,114.86442,147.51731,220.57748,188.43209,117.36817,185.1818,123.31483,6.1205,144.0263,159.19767,138.32035,177.26952,176.83322,178.53933,191.09703,197.15023,162.41075,127.71025,120.49751,130.55431,137.64783,137.19816,153.44961,176.27115,178.23527,187.98116,180.39467,166.71789,166.17269,128.07572,129.17987,107.00709,114.70173,133.86281,137.56292,143.56442,167.49616,176.80472,179.38494,197.44236,189.64655,151.38481,126.31779,103.95034,103.58318,162.72675,186.56488,153.88016,119.15803,213.85476,229.77675,202.4525,158.03056,113.53002,120.0055,141.19069,158.10084,204.27278,169.81706,152.72133,133.76728,177.41873,196.45587,166.82414
"US-CT",37.537,33.26,33.449,60.494,24.767,40.871,14.541,9.188,8.016,7.689,5.656,10.905,31.623,19.033,24.053,34.074,45.841,37.859,12.95,8.369,6.67,14.35,46.723,53.543,46.652,30.784,57.995,53.883,39.992,57.433,24.474,33.038,39.353,48.994,58.85,72.969,255.29187,10.88916,22.45209,12.83032,29.74311,15.35199,40.41042,73.34088,0.62861,0.50472,0.46537,0.70371,49.32853,40.01147,43.70622,43.55799,38.14516,41.76389,44.16706,37.21717,30.53846,30.17816,35.73682,43.84806,50.3934,45.55558,40.20336,43.78198,53.53231,51.92981,54.38957,53.52587,35.02719,32.20176,39.43307,43.9181,36.27816,25.85908,29.71991,42.57296,46.34093,27.77001,22.11633,19.41229,17.4929,23.92804,36.43674,35.33344,43.75338,45.19031,51.33099,63.35957,46.54359,44.64202,44.70162,56.62867,33.41828,32.47531,44.07292,50.06062,44.24026,37.0813,49.75518,54.8441,48.94863,37.24991,50.63303,44.84802,24.28591,30.93576,38.50054,48.22295,35.33481,30.89228,42.56162,47.98917,34.55147,25.70161,20.94912,20.99005,17.88644,40.13811,37.81205,35.86057,46.11247,38.23461,53.46986,64.65806,73.89557,43.55592,28.51675,30.14162,46.04456,52.60805,39.51174,50.69281,29.70124,24.32998,33.87834,25.88065,34.63929,28.36215,20.09479,16.855,17.4066,26.09078,25.10052,29.80168,34.36326,33.8305,36.3936,43.20061,39.09963,44.79398,39.97167,23.63782,26.82878,23.94922,26.38443,29.47455,42.05833,31.01416,28.20758,51.17606,57.29544,37.36971,36.33168,33.30503,20.82874,26.12699,28.46092,41.78558,29.3047,23.26268,22.4953,36.29722,27.60383,37.02027,24.1062,18.34012,13.70108,20.05822,20.34656,29.93087,24.51266,25.2984,30.15911,29.80158,21.42808,12.91754,13.6476,11.63153,10.45176,10.71674,13.69592,19.88398,25.01819,25.01619,31.20761,44.39493,45.83398,34.10028,28.20461,17.87544,13.36725,12.94319,30.60922,23.61592,46.94187,51.76095,56.94131,67.71928,54.38795,25.03856,21.75859,30.6046,29.96216,44.44507,60.77051,64.98832,49.48968,45.22774,47.26948,52.3788,55.26183,36.89023,22.08408,12.40367,10.88216,24.04937,29.90896,42.07129,40.36378,40.12236,41.84281,40.98957,39.9533,32.68224,33.08683,,,,31.84946,37.0758,37.46881,31.52934,38.65605,34.28273,33.74575,31.31891,36.04922
"US-DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
