"Net generation for hydro-electric pumped storage Net generation : hydro-electric pumped storage : all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=01&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.HPS-MI-99.M~ELEC.GEN.HPS-MO-99.M~ELEC.GEN.HPS-VA-99.M~ELEC.GEN.HPS-AZ-99.M&columnchart=ELEC.GEN.HPS-MI-99.M~ELEC.GEN.HPS-MO-99.M~ELEC.GEN.HPS-VA-99.M~ELEC.GEN.HPS-AZ-99.M&map=ELEC.GEN.HPS-MI-99.M&freq=M&start=200101&end=202107&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Oct 18 2021 13:22:32 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
Units: thousand megawatthours
,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
"US-AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-AR",,,,,,,,,,,,,,,,,,,,,,,,,,,0.698,,,5.329,0.12,1.482,1.115,0.62,0.321,0.4,,,,2.072,1.418,3.896,4.438,2.89,3.204,1.028,1.796,4.003,4.708,1.769,0.994,0.21,0.891,1.547,3.897,2.152,1.438,1.059,1.074,0.963,0.765,2.868,0.171,0.52,0.706,2.017,1.981,2.316,1.082,0.504,0.831,0.958,8.908,1.784,1.308,1.18,3.504,0.22,3.503,5.116,2.174,0.812,0.76,0.335,0.688,0.718,9.168,11.008,0.738,1.967,4.985,6.325,5.327,2.507,1.234,2.892,4.226,4.515,3.412,6.276,25.099,5.301,2.215,47.605,1.673,-0.048,0.091,,,,-0.091,-0.086,,-0.108,,,,-0.092,-0.144,,,,,0.121,11.28,4.683,4.323,4.271,1.716,1.971,2.36,3.706,6.621,11.244,11.716,,,2.325,0.987,3.807,1.89,1.984,0.366,1.47,0.764,0.476,1.13,4.252,0.419,10.677,5.101,5.532,1.998,0.184,-0.038,0.323,6.803,3.887,7.413,10.426,8.32,10.35,7.625,7.87,2.672,0.353,0.427,0.924,0.429,0.812,1.264,,12.355,3.948,5.194,2.618,1.441,0.708,0.306,2.592,12.681,0.166,-0.121,9.388,5.016,2.726,1.044,2.626,4.291,0.601,0.239,0.167,1.062,-0.063,-0.085,5.195,9.604,-0.009,0.199,2.393,1.437,0.201,0.323,0.229,1.745,0.275,10.243,12.672,2.268,1.01,0.643,1.124,0.755,0.673,1.821,7.016,4.741,2.169,14.623,6.466,9.567,6.483,2.416,2.495,0.93,0.067,0.406,0.359,1.123,15.819,6.017,9.786,12.14,1.778,6.309,2.359,4.801,4.178,0.69,0.579,0.934,4.891,13.846,6.688,24.671,12.147,8.735
"US-AZ",18.356,15.472,18.226,15.392,31.911,34.095,32.256,32.691,35.87,22.125,11.779,8.121,5.821,3.501,3.768,3.575,4.127,6.318,7.486,9.842,22.372,13.065,18.321,25.768,21.712,18.511,15.266,16.477,25.294,33.613,35.994,33.024,30.83,20.175,15.368,17.326,-10.188,-9.458,-0.603,-2.954,-2.968,2.145,7.664,-2.939,-6.012,-6.468,-9.354,-12.305,-6.28201,7.32809,-5.0771,13.17287,28.93184,16.99341,14.62008,11.46009,16.35369,8.59889,0.20957,1.05561,-1.748,-3.843,3.625,13.828,18.561,25.026,34.76,32.259,20.313,6.6,1.255,-2.084,-1.998,-4.825,-2.14,4.418,14.148,28.387,32.687,34.116,18.345,2.386,-0.061,-0.052,3.742,-4.593,-1.945,15.536,7.544,7.476,21.981,31.986,20.06,-1.676,-1.223,-4.358,-2.32,21.668,15.31,13.306,1.817,25.617,38.106,35.163,16.489,2.232,1.895,0.197,-1.515,12.422,66.269,39.961,29.572,12.974,26.246,19.626,14.216,6.926,-7.616,-10.051,-2.732,-3.672,-6.291,-9.479,19.648,24.385,35.063,37.065,21.214,13.279,3.253,-10.714,-4.074,-2.338,5.381,6.346,10.669,15.923,20.671,12.837,3.078,11.565,0.354,-0.967,1.416,-0.957,-1.065,3.09,1.901,12.657,13.391,15.665,2.381,-5.931,-7.728,-10.549,6.33,-8.738,-5.643,-3.249,4.547,18.265,16.823,10.859,-4.589,-6.836,-7.111,-6.766,-3.32,-5.765,-2.277,0.483,6.775,20.93,25.211,23.466,6.422,5.343,-2.269,-1.929,-0.688,-1.529,-2.251,3.613,6.555,26.464,24.021,16.14,5.834,-2.234,-7.708,-9.587,-18.915,-7.461,-7.033,-7.705,-4.513,3.634,17.2,15.577,5.086,-8.595,-16.147,-16.958,-17.017,-14.068,-11.263,1.314,10.076,26.013,24.935,16.348,2.84,-13.282,-14.921,-15.501,-15.965,-26.47,-0.893,-2.456,3.618,8.389,28.845,31.729,7.493,-6.099,-20.435,-5.283,-5.149,-1.58,-1.671,10.735,11.768,22.023,19.111,34.157,5.829,-8.587,-9.151,-15.234,-17.363,-8.105,-0.058,14.793,24.208,36.156,24.754
"US-CA",-36.255,-172.957,-152.658,-143.867,34.607,24.596,-0.665,135.796,-41.528,8.798,-44.335,38.779,-162.147,-65.137,-53.867,-0.752,101.112,83.883,19.365,-29.898,-38.395,-7.85,-51.95,-35.361,-206.309,-106.422,-116.779,5.497,-59.196,-69.149,-6.512,-41.26,-77.074,-59.699,-95.567,-79.843,-131.96,-87.382,-126.772,-149.955,56.589,30.883,6.198,-36.502,-93.404,-68.253,-125.247,-91.026,-187.181,2.805,-38.769,146.642,44.796,108.529,94.636,76.677,12.911,-11.697,-45.106,-84.45,-35.065,3.343,34.214,-2.592,52.33,226.182,77.939,53.01,-47.043,-50.847,-97.182,-118.152,12.822,80.173,53.881,90.215,28.267,80.771,70.297,81.953,-0.826,-11.308,-84.912,-91.554,-9.322,72.345,-0.836,58.1,2.21,117.817,76.858,72.116,35.732,-44.564,-47.431,-11.762,-75.542,-26.509,-35.466,32.888,48.479,234.719,37.726,15.945,38.804,-10.083,-47.733,-60.379,-60.324,-70.495,-67.878,-6.875,10.214,57.605,73.381,24.845,26.239,-2.078,-48.426,-107.473,-113.79152,10.95833,24.39614,-12.18681,37.78206,28.8922,68.27092,35.02051,-17.47079,-81.16602,-2.28303,-67.21499,17.93114,73.65032,60.93948,58.26961,112.4084,70.77142,63.6038,111.34691,130.1702,-1.34124,-31.19803,-91.693,-32.63,-7.405,-31.513,-0.123,16.391,85.543,118.097,-52.61,66.125,37.718,-1.056,-2.247,-0.22,-14.496,-18.549,-52.505,-65.472,9.459,135.467,-65.076,-6.249,37.069,4.447,-68.615,-85.216,-86.686,-36.263,31.701,79.391,80.404,80.543,76.119,1.347,11.542,-27.345,-12.887,-98.44,-88.55,-53.18,-21.612,113.303,159.231,46.578,-53.675,7.259,11.664,-119.841,-162.086,192.666,-82.698,-50.835,-9.016,66.093,38.328,79.494,107.797,34.022,89.567,-2.582,-55.382,-49.559,54.641,-125.698,-44.964,17.542,110.448,87.452,-27.764,5.318,-40.571,15.581,-151,-102.481,-86.798,-54.89,90.859,9.604,50.376,40.001,94.718,-1.8,79.211,-42.628,-106.787,-62.422,6.409,-53.488,-46.567,2.384,54.28,69.301,-12.167,-0.674,-18.439,-0.911,25.168,-23.754,-70.312,-7.242,-31.219,-81.609,6.085,-32.823
"US-CO",-8.66,-20.545,-32.253,-5.148,-4.19,-27.187,-27.761,-27.799,-27.081,-19.32,-25.794,-24.844,-27.855,-27.941,-12.451,-12.843,-12.778,-14.223,-25.453,-17.032,-9.283,-14.701,-17.477,-28.227,-13.593,-15.253,-16.647,-13.933,-15.218,-23.07,-18.257,-22.794,-17.784,-18.817,-10.905,-17.369,-18.639,-16.482,-22.541,1.641,-24.212,-31.589,-19.166,-17.477,0.356,-8.352,-15.031,-20.309,-28.731,-2.312,0.092,-3.039,-6.282,3.321,-16.484,-21.315,-12.206,-16.987,-9.495,-8.625,-10.388,-7.521,-9.629,-20.202,-15.478,-20.069,-13.409,-25.756,-27.386,-15.98,-16.789,-17.895,-18.637,-11.101,-5.325,-17.202,-14.876,-20.627,-24.682,-24.328,-16.307,-5.596,-1.943,-7.437,-19.533,-1.443,-11.836,-9.86,-45.248,-21.683,-20.354,-37.015,-26.909,-17.331,-20.199,-17.697,-9.45,-6.476,-8.067,-9.415,-11.596,-13.777,-18.493,-15.951,-9.414,-3.899,-1.064,-1.056,-0.892,-8.62,-9.545,-8.077,-8.133,-4.036,-4.527,-9.494,-13.289,-17.001,-17.631,-19.547,-15.03,-13.66,-18.552,-28.309,-26.514,-19.823,-24.728,-28.994,-24.895,-13.187,-15.209,-14.478,-17.96,-16.195,-17.821,-24.034,-22.78,-23.985,-29.144,-30.306,-10.75,-11.133,-17.857,-22.503,-29.443,-8.9,-29.269,-20.199,-27.572,-25.976,-30.438,-29.448,-22.487,-25.02,-17.036,-14.645,-20.088,-9.742,-0.396,-5.912,-14.567,-19.532,-29.355,-30.069,-28.711,-20.82,-22.278,-23.794,-29.183,-24.22,-18.503,-25.937,-24.009,-20.617,-26.479,-19.296,-23.448,-26.427,-17.531,-22.873,-26.17,-25.083,-29.485,-24.885,-26.894,-19.623,-26.736,-34.024,-21.235,-17.319,-18.415,-24.317,-29.303,-22.576,-23.335,-25.118,-29.218,-28.787,-33.899,-31.083,-26.056,-28.924,-20.715,-27.638,-29.846,-28.642,-23.722,-24.282,-18.645,-25.489,-25.443,-23.533,-19.157,-16.642,-10.555,-16.782,-19.712,-13.873,-15.881,-10.897,-16.573,-14.332,-20.417,-18.066,-20.386,-19.243,-16.726,-5.776,-7.837,-7.551,-20.087,-13.643,-4.492,-13.565,-23.917,-21.28,-4.775,-6.345,-12.984,-14.915,-17.964,-12.284,-0.483,1.161,-8.173,-9.174,0.57
"US-CT",,,,,,,,,,,,,-1.549,,-0.482,-5.493,,-1.115,-0.63,-0.401,-0.094,-0.315,-0.122,,,-0.002,-0.076,,,0.02,,,0.015,,0.025,,,0.002,,,,0.025,,0.03,0.835,0.893,3.066,2.864,,,-1.653,,,,,,,,,,,,,,,,,,,,,,,-1.058,-4.825,-1.933,-1.548,-1.892,-1.698,-0.203,-0.135,-0.454,-0.298,-1.311,1.577,-1.289,2.211,-0.568,-1.974,0.32,-0.764,-0.379,0.915,0.825,3.33,2.587,5.805,-1.514,-3.565,-2.874,-1.575,1.37,1.058,0.987,0.658,0.35,0.822,3.863,1.192,0.547,-0.329,0.515,-0.275,-1.022,-0.084,0.125,0.312,-0.301,2.672,6.14,2.026,-0.248,-5.213,-1.045,1.253,0.758,0.869,0.688,2.861,1.018,1.987,0.65,6.051,-0.799,-6.515,-0.242,1.007,0.522,0.496,0.377,0.22,,,1.599,5.239,-1.212,-9.567,-1.399,0.171,2.964,1.077,0.096,0.23,0.051,0.281,1.018,3.967,-1.96,-5.41,-0.097,1.79,0.412,0.529,0.123,1.076,0.342,2.695,3.315,1.982,0.026,-8.17,-0.388,0.562,0.204,0.643,0.325,0.357,0.185,0.119,0.448,3.445,0.865,-4.308,0.293,0.224,0.052,0.759,0.188,,0.239,1.353,2.477,0.513,-6.129,-1.608,1.651,0.669,0.712,0.526,0.425,0.913,0.196,,3.929,-0.401,-2.733,-2.768,0.66,1.108,0.352,0.175,1.711,0.528,0.708,2.24,1.891,9.774,-2.363,-5.76,-1.856,1.93,0.26,0.204,0.295,0.326,-1.012,-1.247,1.604,5.148,-0.267,-7.352,1.446,0.506,0.162,0.46,0.675,0.235,0.091,-1.78,1.997,9.153,-0.965,-8.878,-3.515,0.597,0.566,0.437
"US-DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
