"Net generation for natural gas Net generation : natural gas : all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=1&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.NG-US-99.M~ELEC.GEN.NG-CA-99.M~ELEC.GEN.NG-FL-99.M~ELEC.GEN.NG-TX-99.M&columnchart=ELEC.GEN.NG-US-99.M~ELEC.GEN.NG-CA-99.M~ELEC.GEN.NG-FL-99.M~ELEC.GEN.NG-TX-99.M&map=ELEC.GEN.NG-US-99.M&freq=M&start=200101&end=202107&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Oct 18 2021 13:17:48 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
Units: thousand megawatthours
,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
"US-AK",367.521,334.016,343.858,290.05,283.468,272.074,314.583,331.115,355.21,314.444,325.654,363.575,366.39,296.649,322.785,313.978,301.216,271.101,300.814,277.915,307.926,326.514,317.644,375.229,343.856,298.754,297.698,266.724,256.808,259.973,273.469,243.302,242.622,253.137,288.051,330.089,358.27198,317.00216,291.32996,266.15721,294.93185,298.88187,304.59798,267.58726,266.19647,283.65894,305.03883,369.77808,338.81494,297.98362,304.06083,280.79245,280.64043,262.75185,318.59739,321.07911,277.86188,321.32172,341.73904,377.98237,377.47278,330.22293,346.69755,312.89035,317.47379,313.62079,344.81225,331.79317,273.86669,340.64514,382.11734,386.11755,366.18941,316.27026,340.90077,291.08401,298.24737,297.90142,296.24001,279.39554,291.85275,338.73591,361.90526,388.81679,387.56978,346.92347,352.96494,305.75394,296.32945,279.53119,324.1387,314.3035,311.35819,363.70575,363.67972,356.21354,352.70776,294.10292,301.1481,269.27021,281.24878,259.84937,263.2461,239.745,285.02931,312.15329,338.28372,380.61862,360.40475,310.3724,336.40137,308.90377,319.39843,278.67227,264.28153,282.06833,279.05404,325.11573,334.36571,350.98538,377.30575,323.71193,344.83726,320.64068,313.67548,296.08676,301.49237,290.31083,304.05224,319.41528,350.10731,364.79675,385.25638,333.68873,339.077,302.90512,285.68069,262.54387,252.57809,259.7736,256.5934,307.37049,334.84374,285.72583,345.35691,281.41145,305.91009,270.46033,276.19214,242.52067,277.69948,264.2221,277.77343,240.55181,287.61911,351.28793,317.44718,296.10478,290.75494,261.50491,264.3781,261.71346,269.96467,267.55649,195.16916,252.05755,297.84008,313.53101,324.15066,319.17815,313.20482,254.70636,245.05742,240.55875,239.11823,233.20505,195.40537,203.70742,247.30939,274.11116,298.21462,258.7653,272.4688,270.61771,270.41501,247.87531,263.90229,225.59478,209.67705,199.68979,254.25914,269.0075,283.565,272.64625,290.43311,247.06853,244.49302,253.55247,272.89741,275.69263,233.19593,248.44453,302.77088,310.10874,295.05113,261.41567,277.05131,212.2465,245.24909,234.11817,255.56567,247.47592,232.34768,181.98777,241.97082,263.42233,296.39744,254.60979,237.38949,241.21444,211.53763,187.51542,228.44805,215.85329,166.95704,203.94727,215.16865,227.9514,228.40302,184.70275,189.38693,147.1419,131.53275,173.29017,284.93081,230.27358,169.90809,189.08397,125.22302,174.23413,155.44962,171.58349,155.98493,180.15346,114.32722,212.69803,257.12392
"US-AL",566.478,276.61,389.456,491.732,640.437,921.835,1151.447,1233.284,989.861,1019.941,1034.307,897.294,1295.627,1168.864,1070.388,979.746,1032.098,1741.159,2123.294,2219.86,1670.589,988.789,795.527,818.124,1326.098,716.076,574.322,823.373,620.427,1235.192,1793.367,2393.443,988.868,374.996,505.661,891.776,1263.86559,1164.25873,1217.05745,1171.69759,1345.45735,1556.7095,2385.96385,1994.44279,1340.64356,999.34511,664.1704,873.40731,807.8965,581.65821,917.59463,501.55623,858.18473,1603.58376,2077.13559,2377.78356,1232.7812,750.31528,826.60399,1334.35717,478.65433,675.78462,1044.84579,1247.4298,1488.0888,2623.04119,3355.63399,3531.76371,1525.24496,1424.54697,981.6714,1030.51616,1034.2027,2038.32653,1113.79154,1854.994,1401.221,2260.59976,2516.59835,4131.43037,2208.41838,1926.46194,1247.19083,1498.5409,2110.52939,1427.17342,1175.97287,854.96012,729.65254,2603.58574,3048.6651,3043.04614,1887.07638,1930.78749,2132.43237,1419.0372,2208.31541,2400.39511,2423.94192,2330.38361,2321.80357,3683.26666,3566.66396,3641.58734,2819.9997,1883.7617,2003.20285,2333.76085,2838.44506,2542.67867,2369.48959,1948.92894,2807.58731,3908.4333,4407.78385,4836.73221,3522.0194,3245.64832,2796.44777,4010.82273,3779.76611,3333.9585,2847.15574,2480.53537,3252.9797,4363.22377,5014.04209,5606.03967,4302.41982,3708.93942,4439.28526,4552.70851,4579.87927,4870.9099,4177.09956,4318.60694,5282.47544,5233.15268,5873.70731,5436.67567,4441.95492,3407.64447,3730.77357,4352.12072,3750.66285,4361.56067,4451.46446,3145.13501,2987.97828,4043.79336,4211.91554,4564.14284,3695.83727,3758.83342,3807.07508,3807.98647,4390.03644,2524.55594,3780.11578,2655.92771,3825.44753,4157.09573,4278.46141,4760.99054,4441.18375,4242.81365,4781.32451,4432.12141,5090.78353,4446.05916,4314.83738,3532.99934,4511.4806,5091.94224,5473.05141,5233.44514,4625.71296,4438.8715,4392.92398,4692.34947,4832.60902,4185.23211,4359.29082,3685.00882,4637.72616,5335.4657,5988.57314,5998.46531,5564.68479,4391.61081,4342.55154,4482.40028,3562.92346,3250.10649,4477.8661,4201.71488,4242.36773,4409.43495,5672.93615,5460.15505,4761.15088,4271.83247,4347.83148,4325.34323,4821.79212,3571.14541,4278.89167,4651.68851,5312.74779,5177.85418,5964.43657,5765.04089,5649.37011,5020.71859,4345.74116,4240.99164,3987.19251,3942.27594,4890.61887,3786.75098,4941.33004,5256.7938,5879.49418,5956.9074,5684.55898,4743.55647,4142.82855,3985.06246,3938.90472,4352.80816,4480.55251,3030.30857,4125.14329,5439.53099,6499.58185,5844.31833,5051.1475,4277.1091,3329.2943,4511.54479,4732.24733,3848.97516,3581.30063,3396.52493,3945.48279,4969.55218,5283.72913
"US-AR",191.97,59.236,138.628,251.131,169.725,142.681,347.823,422.255,287.048,308.087,235.106,153.21,176.172,217.127,227.047,283.286,266.365,484.94,897.034,743.596,597.578,394.419,166.036,149.358,333.867,423.229,321.983,440.78,687.04,910.814,1150.22,1176.597,640.408,519.565,419.348,277.009,295.39818,391.36213,316.02681,279.82333,535.6125,685.90265,711.65388,672.68805,331.31138,478.64496,198.38981,171.95003,185.42494,172.53326,306.96015,290.05935,497.62494,789.73571,1085.42252,1044.6965,531.50479,387.69156,374.66747,339.33843,175.78917,285.28163,340.1604,720.3884,1046.93826,1364.79571,1392.46928,1444.65633,1057.68846,856.12366,277.00275,321.09169,168.01779,287.87274,269.80636,529.46435,805.11992,1215.61896,1209.29798,1754.80231,926.63632,458.06743,412.49771,327.04897,784.87203,632.69204,379.1209,292.10376,596.37148,1123.05161,1310.67233,1099.92913,453.24469,765.92817,505.62726,517.46007,704.06463,945.71265,967.3373,739.11005,602.2618,1684.42828,1674.84444,1646.16471,870.44536,584.85454,276.90304,525.28643,997.50613,693.53861,499.49438,435.13435,926.91681,1594.61607,1863.80293,2116.82854,1247.09154,874.25328,359.60047,860.29424,1039.09976,851.2504,768.5883,739.035,897.06866,1572.07992,2000.2644,1835.88746,842.39298,890.75783,731.34253,778.91462,1335.11831,1391.16179,890.72937,1532.67506,1495.91195,1823.98139,2392.96553,2024.08342,1180.17858,1245.1378,1033.35006,772.11969,1276.88621,1213.8064,1252.5748,684.5646,748.51902,1344.75286,1322.99554,1295.17564,829.28289,745.69417,557.50385,867.6211,1010.86204,589.17291,791.84697,741.03817,846.36236,1062.50664,896.88393,1036.19457,754.47159,622.97229,533.17186,728.2247,1355.54183,1750.86061,1505.09179,1255.28433,1028.48553,1313.32184,1704.29131,1657.82026,1099.57153,547.05603,721.31845,927.64231,1195.42138,798.2342,1623.91427,1466.41132,1570.8225,2233.32553,2166.12624,2222.49166,1195.51523,1228.38201,1520.36776,950.17493,815.02165,978.46873,1508.32095,1657.61854,1625.87854,1661.58124,2159.72034,1511.9947,1446.693,1422.90581,799.36736,1726.79867,1587.46135,1572.42799,1799.99908,1873.29823,2047.49364,2179.53899,2364.14055,2152.98282,1487.18061,1830.75353,978.47978,749.94813,1366.88845,1839.31717,1556.6849,1381.81537,1640.17835,2160.0914,2343.74199,2483.13637,1946.39132,2097.92905,1447.3202,1508.90566,1634.53957,1169.61999,1336.92896,868.38878,993.32617,1649.40085,2146.0103,2048.24229,1067.31524,1461.86737,966.34138,1470.09596,1014.14825,919.8657,1362.79013,1628.47034,993.53223,1856.75149,1807.46157
"US-AZ",651.812,920.459,911.656,1029.478,1355.844,1270.426,1370.176,1258.99,1074.056,1098.968,826.9,1103.435,801.752,1032.089,1087.939,961.165,1077.277,1468.847,1944.501,2116.783,1980.473,1812.482,1437.748,1571.96,1002.633,1024.493,1374.604,1032.335,934.331,1361.357,2703.933,2917.287,2507.36,2093.853,1149.189,831.266,1497.03144,2003.86851,2087.99545,2043.46879,2461.1677,2954.48519,3655.21083,3417.62991,2768.54238,2085.14297,1734.5935,1555.80607,1522.81425,1563.88742,1087.52474,1815.6207,2251.17253,2427.78023,4042.87426,4046.48103,2964.93958,2627.37759,2226.38907,2316.15192,1891.86399,1735.14897,1611.41837,1853.85318,2230.60789,3374.17619,3979.69222,4270.22055,3487.85402,3715.69859,2358.86744,2359.646,2502.88228,1877.94057,1005.72099,1855.44636,3171.43973,4184.58919,5340.3916,4927.80728,4080.71347,3364.61998,2978.81325,3178.8561,3342.59156,2602.27365,1714.37131,2910.52844,2614.45427,3709.47869,4680.5551,4824.57383,4157.88647,3394.93119,2298.68103,2572.10365,1792.56319,1915.28312,1829.75349,2047.84362,3201.7919,2756.17664,5077.57699,4816.86282,3990.64447,3178.84532,2127.91129,2003.91677,1201.30484,1263.69094,1810.02039,2101.89303,1608.1046,2757.00673,4238.76631,4454.6332,3708.29346,2923.17138,1947.07734,1661.97977,1540.84012,1171.39258,668.6843,1411.31577,1056.39405,2141.30019,3309.79777,4121.24898,2889.61724,2222.60023,1502.31295,1217.19542,1704.02463,2028.21507,2159.2421,2285.4584,2136.24839,3267.37505,3979.83094,4673.47763,3415.36273,2599.74533,1136.49169,909.53854,1497.39524,1166.90028,1230.89329,1664.9488,1500.21293,3412.2957,4701.07486,4728.58243,3661.95389,2033.36892,1584.2469,2502.75805,1385.75582,1359.22479,717.07524,1238.39032,1862.00276,3000.74549,4264.09969,4025.02916,3630.49086,2657.15318,1885.41072,1216.50066,1507.62305,1144.22982,1216.89686,1787.2736,1775.112,4131.11691,4638.44141,5175.94251,4221.04226,3358.65867,2355.35233,2345.41284,2035.14481,1694.8533,1851.68052,2480.98719,2723.10443,4154.40235,4895.14654,4853.67456,3934.46565,2749.16127,1580.47056,1229.71678,1221.79656,666.53234,890.79438,1893.72577,2539.84314,3662.17098,4537.71177,4151.63067,3347.00716,2888.81013,1689.3437,2101.33203,1552.19193,1434.86375,1500.06665,2247.21728,2650.98632,3530.51316,4778.83181,5011.21468,4751.13742,3898.92319,2797.18495,3014.94413,2928.49034,2540.58444,2919.90639,3286.55045,3019.7588,4151.9544,5248.32656,5395.97069,4774.27365,4393.91234,3276.92992,4147.70867,3534.4184,3378.9658,2703.36812,3317.19394,4279.9933,4590.16471,5799.24145,5811.97694,5096.42336,4738.25964,3700.67799,3959.91679,3734.85456,2175.74552,3195.26461,3759.50195,4283.82812,4940.46492,6133.55625
"US-CA",10192.494,8870.575,9474.176,9208.768,9698.874,9350.107,10845.767,11506.271,9412.643,8942.997,7011.475,7418.123,6687.453,5888.042,7704.101,5634.562,5661.771,7874.932,10383.127,9813.914,9012.444,7070.808,6585.897,7306.993,6915.243,6628.001,6956.599,5627.677,5446.758,6278.049,10817.367,10189.546,9442.929,8937.383,7040.018,7152.611,7165.57456,7261.81937,7721.33009,7544.68766,7258.53134,7129.56852,10565.56762,10565.3741,9721.38103,8531.42559,8387.50803,8369.46495,7131.79668,6231.39635,6635.7174,6091.44265,6187.3439,6706.19219,11149.90523,11415.81694,8432.57892,7475.10462,7605.65777,8290.89664,6896.18411,6572.71734,7289.17113,5870.45379,7394.17841,8930.72192,13706.32684,11212.64614,10305.03367,9546.96282,8655.02251,9311.69753,8392.07948,7629.38317,7062.83069,7052.154,7822.77251,9335.70149,12445.63952,13821.27324,10934.32504,10343.15985,9869.98297,10991.16842,10791.61333,9042.43229,8486.06118,9647.29108,7643.55393,8381.8515,10942.68961,12825.49501,11567.07353,10792.22454,9384.47112,10486.98011,9450.02233,8696.54877,8075.88203,6941.20347,7052.62978,6511.19436,11916.26847,12240.93162,12807.50632,10051.54297,9171.52769,10548.19691,9876.67501,9074.76776,9679.68997,8142.94727,5920.86851,5519.7194,9112.88545,10751.99058,9916.27833,11216.49435,9447.78284,8862.214,7512.79054,7404.16622,5881.15817,5003.83815,4459.62789,4958.86456,7945.66945,9761.63229,9942.13439,7983.30261,7877.0848,10243.56168,9419.36743,9415.70892,8947.35467,8275.18842,8218.30267,8703.0325,10270.36475,13518.69,12311.1657,11408.71293,9862.56054,9317.8801,9693.41139,8942.45506,8590.14183,7392.38499,7788.85379,9217.10201,11679.53674,11937.3963,11891.25556,10315.60771,10189.72896,11884.98495,10657.38229,9959.62035,8610.77229,8195.34059,8235.18247,8134.58947,11509.08061,11885.36689,12433.53245,12257.3552,8879.43792,9668.77496,9167.53501,6836.28741,7940.78283,7620.946,7420.209,10440.54838,11766.08201,12398.55561,12315.96734,11947.08342,8829.90934,9455.70234,8983.83868,7156.56292,5559.66385,5288.34831,5736.06969,8702.86293,10274.62138,11374.62489,9434.40975,9298.34908,7150.40721,8113.90525,7918.94238,5754.04115,4777.68026,4232.53517,5253.45587,7155.28163,9635.9178,11040.84347,9028.84936,8436.32294,7329.76581,7786.52247,7111.49914,6216.97187,6529.74127,4827.92666,4425.64773,6115.85127,11232.48599,10300.25684,8011.97433,8963.11186,8033.77064,8035.46566,7591.39061,7058.67741,6093.50923,4271.83666,3731.32222,5058.77988,8158.7791,9691.49767,8467.94894,8513.42588,8531.6012,8672.00594,6758.68273,5925.23888,6718.34417,4727.92527,4498.76993,6272.98061,8927.84685,11558.2456,9772.35094,10199.08281,7852.15985,8645.2777,7099.85602,6032.26648,6440.13388,5756.38925,6156.71831,8661.8185,12107.9199
"US-CO",785,798.303,896.1,873.971,640.381,692.832,869.525,837.291,727.908,873.818,631.702,764.957,662.809,534.378,810.051,750.604,681.159,798.852,959.842,849.234,770.189,803.861,672.031,735.481,781.165,735.173,726.284,513.598,708.16,578.618,1046.989,1184.71,762.719,626.338,756.528,805.752,824.17765,679.75883,621.29414,703.61248,875.0083,894.67789,1242.36412,1003.74177,825.89078,903.67008,1126.62822,1046.67204,1036.31942,870.66324,719.96817,937.51981,887.73803,816.49705,1420.45683,1135.35922,1026.64266,959.80239,1012.22858,1100.09474,1046.41987,920.88664,1005.43745,736.57053,748.75137,1029.67689,1272.91008,1252.79035,717.31971,1068.68814,939.0358,1180.15261,1212.41911,960.49655,854.79304,968.83164,1128.97251,1425.99339,1575.15443,1460.46439,1599.96945,1400.16058,1155.20338,1271.44263,1118.28221,1023.5734,1113.71955,964.46533,868.36447,951.30116,1448.70358,1332.40565,1156.19652,1238.42057,1074.56291,1197.47924,1149.77305,1200.65239,1369.89986,1309.05546,1021.07527,1098.25752,1405.78761,1325.29222,1047.40375,665.89607,881.50518,1365.42709,1064.70467,973.56788,1018.55634,792.48899,679.20952,1045.37647,1198.84424,1112.72652,830.52342,748.00167,777.46943,820.80537,845.31765,763.67625,655.08834,794.53409,838.73975,887.93785,1225.37259,1025.58158,591.66697,715.01361,874.21613,969.15847,843.01613,778.89617,760.31565,720.52547,1029.80562,1032.74818,1327.59251,1239.53343,921.01898,464.20554,716.56928,690.21804,807.21429,606.13352,844.71214,665.40064,708.63046,1069.92127,1267.89056,1207.84859,1138.52012,660.46307,673.20947,1058.86038,775.84638,775.89913,1024.82746,630.70098,999.87349,993.06576,1237.12029,1052.76398,1104.52229,1133.91843,1125.49654,1099.77354,839.18441,654.80078,754.52381,744.20109,601.01804,1001.40493,1168.7792,1142.31257,1253.84959,1069.04113,1311.40666,1103.22765,1024.36364,855.15096,996.76508,1192.58915,1033.77353,1350.66977,1533.89634,1353.22765,903.34018,763.57894,732.68021,939.40393,1090.94767,734.49165,725.47619,952.73369,860.21896,1130.79409,1592.44445,1431.5731,1156.15275,830.86159,858.12276,1168.4256,1350.67374,1291.13106,1141.18733,1034.90235,1401.90222,1601.35047,1814.471,1573.65143,1407.94952,1199.96652,1270.19498,1311.05878,1327.28296,1436.12467,1263.68187,1196.95697,1212.46423,1368.59417,1946.32354,1850.58667,1358.84637,1155.147,1463.68229,1517.42519,1451.40322,1627.20128,1608.64306,1395.98166,1194.84196,1658.34979,1936.84866,2079.47071,1531.8036,1415.16841,1212.64832,1324.13091,1332.90815,1198.6545,927.05169,1012.75691,1226.05781,1468.7785,1771.82237
"US-CT",125.845,211.055,340.208,79.549,144.814,260.482,316.96,526.694,675.268,614.556,291.926,500.871,578.56,543.747,643.973,545.052,831.179,747.71,1029.4,1057.295,955.833,738.919,591.18,605.62,349.314,290.024,484.236,401.81,374.065,321.17,439.34,530.108,510.235,437.701,522.966,400.645,370.2868,546.29899,536.23844,581.57241,803.6335,794.60966,877.86244,962.32213,880.95636,622.55168,559.86479,571.60905,510.66955,701.77922,682.23082,825.36477,944.27809,808.4259,978.68346,984.5905,619.0793,678.24423,594.42753,536.1188,682.05709,724.68441,915.94136,822.03133,854.6229,1023.86897,1185.77228,1010.98744,837.76924,910.06971,765.51383,751.16272,690.69953,675.66871,742.32895,803.83865,902.20236,764.87624,1062.24804,1142.54032,919.02656,840.95432,670.9532,714.22245,737.07974,568.01518,383.33307,574.1112,729.20066,632.12892,1023.18369,752.78892,622.07311,895.5426,571.62203,580.77308,658.21725,732.64142,841.74118,639.44265,671.9165,662.14497,1062.05777,1160.83662,827.46245,939.81818,744.02875,869.04335,943.84744,734.38828,611.30009,576.00028,848.46508,1083.7117,1395.92022,1193.26757,1153.48903,997.7763,1265.6382,911.868,1084.95912,1100.00094,949.01023,980.28295,1173.15485,1192.46855,1515.41643,1590.87821,1558.23704,1389.93484,1344.46365,1309.33846,1185.90901,1113.80137,1176.6905,1054.8847,1044.16376,1329.34001,1763.11223,1777.68561,1538.61599,1556.84123,1606.2775,1389.84699,1290.95435,1230.03679,1317.52252,1239.08751,1414.31859,1235.9363,1632.32937,1449.29512,1349.13272,1210.50195,1240.30062,1170.88119,879.33201,960.48067,1016.38253,1270.39955,1169.47854,1305.22762,1631.14969,1554.3663,1172.50214,1023.89027,1244.8902,1455.80535,1573.67415,1107.22816,1243.1197,1319.45101,1252.18959,1352.13242,1619.88464,1732.92928,1520.09557,1517.43162,1460.47532,1663.69766,1562.5794,1433.11933,1314.63332,1672.91148,1498.88904,1350.35293,1633.65236,1756.32215,1445.69325,1426.46686,1454.86005,1402.02324,1554.73781,1244.78247,1176.58347,1070.22499,974.63743,1158.73038,1590.80163,1563.76549,1173.14271,1377.91041,1541.98835,1533.95183,1333.73475,1306.54253,1550.69171,1301.89157,1254.112,1674.46224,2051.86916,2190.97473,1789.61722,1804.45155,1833.18398,1914.92605,1676.79006,1500.5782,1511.73833,1651.68799,1568.05256,1737.09019,2422.71284,2166.30794,1704.14299,1417.081,1777.28275,2209.63021,2015.94677,1880.53469,1708.46133,1733.4708,1542.53721,2126.361,2722.07003,2314.23192,1966.28867,1610.952,1819.69002,2012.26253,1949.99728,1808.8643,1988.03929,1547.43065,1728.9127,2289.31484,2340.23626
"US-DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81022,4.25041,4.92537,5.48893,5.8351,6.85707,7.80899,7.82751,6.69112,5.92334,5.14364,5.63726,4.48325,4.3837,4.80981,4.76831,5.74502,5.72304,6.74497,6.2387,5.68072,4.92087,4.14174,4.74765,5.04778,5.04702,5.1073,4.9906,5.33605,5.96759,6.42078,6.69003,6.0465,5.59004,4.81412,4.79428,5.22866,3.83656,5.02127,5.25072,5.83832,6.25568,6.87549,7.24404,6.38127,5.60175,4.84131,5.23709,1.6992,1.53774,1.67114,1.71452,1.94575,2.1547,2.32039,2.2473,2.03692,1.79568,1.73948,1.78977,1.72451,1.64215,1.752,1.69147,1.90376,2.16411,2.45061,2.45581,2.06235,1.71855,1.56727,1.56945,4.452,1.881,3.913,0.069,1.063,3.91,0.357,0.345,2.999,,0.118,0.597,2.665,2.289,3.068,,-0.903,2.223,4.542,0.368,1.86,-0.731,-0.202,3.149,10.10085,7.71105,9.83571,8.57144,7.27573,10.23193,8.57141,9.01562,9.5084,9.03291,8.10625,12.16175,13.02963,13.18599,9.2479,,,10.07487,13.67643,14.66503,13.55285,12.05288,10.76947,13.72993,13.19225,12.31707,12.64388,,,13.47223,14.30975
"US-DE",7.062,20.295,142.86,9.062,115.204,154.285,167.971,322.028,263.216,233.271,102.481,37.751,70.586,117.43,111.9,113.854,87.717,113.363,273.733,219.692,167.511,112.742,24.189,30.167,52.067,41.037,173.463,101.282,37.528,112.376,286.828,271.853,147.4,113.735,54.077,72.134,155.76434,105.20836,112.78044,86.20317,225.09583,139.83974,141.64891,130.0366,168.49362,58.43915,114.28943,280.61985,177.88991,130.02444,121.62572,34.29497,53.80904,188.16315,248.99289,297.05524,168.03241,91.46851,53.98219,25.47818,55.42678,47.07316,105.27004,28.24828,64.65521,162.3787,248.20706,191.37378,87.31104,63.66449,37.67535,79.48395,77.91237,70.06755,122.70397,105.53779,121.46928,191.15136,305.26635,338.16751,219.69146,166.32973,62.55067,121.13558,55.72965,63.63339,55.48832,48.8235,33.52602,233.2665,290.78877,206.30338,176.56382,48.68079,87.35593,86.84866,91.9527,32.83206,71.25407,15.70143,46.43207,79.70466,143.03911,219.41801,227.24753,223.92636,76.63233,148.26024,105.6108,91.38117,107.22893,138.75838,268.98544,383.62836,537.4941,401.44637,326.59348,282.36724,156.96949,64.51918,55.95172,177.66202,359.21278,398.95436,350.19323,420.85137,593.45409,459.72472,437.65407,466.43584,531.61817,479.65663,496.16588,488.72171,546.01334,671.39505,620.30553,631.50551,771.73121,654.79943,587.76586,535.53792,316.9506,493.8352,372.97366,323.72523,656.19336,383.46418,497.19626,542.65864,713.61018,609.04506,539.13059,517.6861,374.96913,400.63548,290.06094,288.8199,441.12647,408.32294,426.73067,602.9914,711.53806,741.17476,671.8835,498.93046,602.75786,613.12144,483.22262,230.16588,390.43352,780.94206,712.05269,658.33324,789.80985,723.12926,706.76213,464.43161,363.45322,386.5306,358.72337,385.26018,583.43045,696.35844,600.91488,822.60442,1017.79072,953.77758,746.64049,761.62532,514.44162,345.90102,358.01158,395.76877,607.37131,413.47484,782.75683,739.41328,837.80686,726.79916,597.65367,533.47452,311.12567,419.5319,280.37802,390.95643,524.58764,502.94846,437.14791,334.82784,518.07199,724.21,564.9741,613.31383,289.39779,219.34088,229.98999,278.67438,419.47685,323.57221,367.51224,420.30059,823.38497,701.43397,415.5773,335.62977,295.00458,195.68234,302.42373,267.60445,244.2816,374.26089,330.03947,529.54247,791.79768,706.81733,389.29213,220.16365,267.22671,208.55765,101.55608,152.52413,114.69644,171.05523,241.05253,416.72145,489.47029
