"Net generation for nuclear Net generation : nuclear : all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=08&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.NUC-US-99.M~ELEC.GEN.NUC-PA-99.M~ELEC.GEN.NUC-IL-99.M&columnchart=ELEC.GEN.NUC-US-99.M~ELEC.GEN.NUC-PA-99.M~ELEC.GEN.NUC-IL-99.M&map=ELEC.GEN.NUC-US-99.M&freq=M&start=200101&end=202107&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Oct 18 2021 13:18:13 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
Units: thousand megawatthours
,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
"US-AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-AL",2940.3,2515.933,1873.313,1459.636,2677.375,2725.271,2830.454,2893.037,2819.89,2409.155,2488.569,2724.13,2949.643,2665.286,2686.971,2309.008,2853.342,2805.207,2783.034,2849.954,2345.774,1918.094,2832.59,2858.023,2811.577,2279.104,2222.051,2192.713,2819.897,2516.142,2738.799,2887.114,2817.353,2806.091,2612.011,2974.101,2967.906,2667.215,1649.928,2462.268,2929.206,2824.923,2798.467,2884.259,2797.982,2317.266,2372.677,2963.692,2961.331,2511.942,2581.39,2339.56,2899.248,2723.626,2878.614,2831.602,2699.755,2478.303,1939.568,2849.284,2773.917,2568.279,2297.288,2361.992,2243.357,2807.607,2849.678,2772.283,2817.301,2621.767,2870.638,2926.989,2855.031,2192.248,2118.526,1775.39,2443.103,3288.904,3653.261,3254.969,3283.158,2833.345,3019.334,3607.858,3184.555,3533.022,3350.032,2799.939,3238.921,3564.485,3397.232,3371.54,3408.828,3137.338,2321.217,3685.532,3793.234,2945.711,3166.506,2827.587,2735.253,2875.447,3665.767,3552.446,3337.084,3468.077,3581.868,3767.224,3611.804,3352.825,2790.811,2810.556,3317.556,3410.328,3190.04,2590.75,3512.066,3035.375,2633.27,3685.44,3676.389,3253.636,2987.834,3123.616,1589.262,3542.53,3651.695,3541.298,3542.34,3264.104,3474.688,3708.73,3737.038,3522.523,3757.249,2440.252,2995.233,3502.069,3604.628,3704.061,3645.747,3467.068,2908.912,3556.432,3824.937,3005.187,2986.521,2454.886,3444.383,3562.833,3720.122,3718.037,3542.181,3218.217,3603.367,3735.464,3744.647,3061.007,3256.066,3704.653,3631.801,3588.925,3736.27,3413.877,3468.525,2597.134,3272.091,3768.693,3859.942,3484.189,3192.971,2687.335,3377.079,3620.193,3703.876,3697.007,3553.92,3823.481,3381.196,3570.193,3688.71,3166.814,3012.533,3223.322,3491.478,3564,3531.594,3611.119,3434.125,2286.938,3085.8,3805.446,3679.445,3157.424,2986.753,3652.507,3788.603,3622.557,3743.965,3674.117,3661.948,3453.774,3370.618,3860.262,3760.56,2796.231,2731.979,2874.03,3260.283,3633.513,3824.071,3700.374,3327.44,2489.768,3112.882,3951.696,4012.543,3388.503,2974.168,3036.93,3912.344,3875.772,3926.474,3990.623,3516.837,3276.055,3629.094,4117.519,3994.825,3504.21,3251.736,3772.352,3919.987,3716.95,3414.029,3997.342,3767.66,2789.949,3340.424,4081.183,4122.597,3628.25,2969.534,2750.886,2801.025,3936.409,4089.761
"US-AR",1028.544,1214.538,1030.901,1109.159,1321.506,1285.171,1268.434,1318.324,1286.283,1333.381,1243.74,1340.808,1334.355,1209.239,1340.682,874.937,1223.077,1334.145,1366.828,1369.798,1264.14,806.874,1081.735,1353.074,1392.464,1255.772,1390.876,1340.183,1370.443,1333.879,1333.266,1232.981,970.683,1026.829,1008.188,1033.852,1395.055,1217.141,1393.03,1130.194,1095.428,1158.53,1374.523,1347.985,1262.403,1340.639,1347.577,1387.346,1394.772,1259.865,832.029,1049.398,1385.659,1329.546,1365.357,1364.55,1315.097,826.104,724.688,842.506,1385.978,1260.384,1393.467,1336.107,1383.699,1331.337,1369.027,1364.18,1043.262,650.678,1320.087,1394.371,1237.445,1224.84,1381.539,1142.613,979.493,1330.868,1372.259,1363.174,1328.057,1383.098,1348.837,1393.879,1392.764,950.562,1008.754,1052.889,1359.12,1330.655,1334.646,1369.191,1335.231,1264.61,725.939,1043.73,1299.968,1061.366,1263.194,1327.697,1384.658,1324.27,1367.745,1367.043,722.353,1386.355,1348.054,1317.263,1390.277,1195.655,1164.159,763.131,1334.143,1319.429,1360.698,1140.888,1241.627,1381.429,1343.025,1388.217,1388.972,1042.029,744.129,1211.272,1170.352,1324.499,1360.016,1363.51,1326.879,1015.457,876.492,1370.838,1368.457,1298.712,1380.613,1331.22,1371.675,1321.157,1356.813,1314.553,890.22,1128.27,1342.763,1388.678,1388.982,1255.342,1148.164,25.775,743.235,713.416,735.251,1108.587,1295.723,1351.312,1342.172,837.298,1125.915,1254.4,1386.611,1159.812,440.492,994.361,1365.971,1359.799,1321.119,1376.162,1339.659,1353.958,1209.164,669.295,1346.468,1325.116,1371.776,1317.354,1343.777,1329.421,1041.409,626.728,949.411,1307.875,1386.411,1104.525,1314.744,1326.812,1347.755,1314.652,1353.779,1359.698,1076.184,78.277,708.685,1049.5,1279.925,1192.231,951.634,517.508,215.385,603.705,1136.533,1364.011,1324.909,1378.21,1339.682,1387.346,1374.056,1251.706,1214.195,722.323,841.725,1025.537,1289.468,1315.837,952.746,632.419,811.046,1289.76,1389.566,1243.888,1364.841,1332.697,1200.079,596.53,660.202,1352.797,1309.963,826.357,910.614,1387.413,1385.498,1298.3,942.612,791.161,1362.478,1289.24,1357.755,1362.357,1324.716,1381.546,1263.157,1304.229,1369.932,1207.132,1278.617,879.267,1180.383,1321.283,1360.876
"US-AZ",2733.255,2186.021,2753.99,1837.828,2266.571,2723.83,2700.619,2656.41,2616.29,1200.058,2262.87,2786.334,2844.319,2566.694,2343.806,2169.71,2819.293,2717.774,2792.098,2793.709,2615.41,1879.761,2506.794,2812.543,2819.428,2545.411,2560.167,1801.122,2742.138,2499.445,2603.529,2485.784,2574.447,1849.173,1808.579,2291.83,2887.529,2155.261,2338.518,1945.079,2470.274,1975.115,2654.962,2777.407,2691.53,1892.961,1804.086,2519.887,2818.173,2193.542,2709.934,1788.261,1790.087,1985.957,2549.613,2114.828,2712.381,1317.335,1860.601,1966.734,2102.482,1891.323,1917.006,779.151,1498.282,1837.766,2357.606,2848.844,2361.135,1209.288,2299.443,2909.905,2750.069,2266.482,2884.634,2224.318,2333.073,1785.424,2115.062,2842.093,2665.811,1390.707,1566.483,1958.235,2300.564,2782.885,2871.543,1904.539,1954.901,2518.897,2927.288,2930.748,2576.681,2047.219,1945.24,2489.991,2981.356,2694.725,2889.458,2015.965,2037.065,2867.482,2938.675,2946.906,2855.935,2035.531,1908.624,2490.129,2934.812,2688.283,2503.706,1972.518,2155.91,2782.251,2931.945,2924.979,2850.591,1994.112,2483.005,2977.823,2846.407,2688.308,2879.107,1929.763,2696.52,2857.179,2934.406,2625.511,2807.736,2123.695,1927.608,2961.623,2958.862,2697.058,2453.084,2240.082,2952.974,2834.687,2830.932,2898.669,2799.232,1860.622,2437.417,2970.297,2859.327,2684.221,2897.191,1924.725,2945.412,2846.469,2892.416,2930.489,2842.526,2094.71,1976.796,2536.798,2976.752,2685.783,2967.442,2027.646,2675.472,2847.603,2926.652,2910.288,2831.567,2280.182,2218.273,2973.257,2973.59,2682.794,2967.724,2006.657,2764.144,2849.011,2944.546,2928.742,2840.235,2244.863,2337.318,2985.971,3002.325,2793.423,3007.729,2159.34,2393.507,2839.398,2896.109,2938.674,2507.329,2196.021,2660.578,2983.044,2980.017,2683.743,2969.041,2122.133,2350.826,2813.333,2853.442,2934.537,2852.833,2162.542,2633.429,2984.262,2984.031,2556.051,2977.426,1962.606,2630.253,2750.299,2730.309,2923.384,2807.555,2101.637,1904.189,2769.519,2978.263,2686.344,2966.738,2063.363,2643.579,2853.989,2936.057,2781.532,2838.796,2027.695,2173.732,2970.28,2975.994,2491.613,2796.184,1999.298,2769.259,2851.559,2929.069,2921.071,2846.308,2243.169,1915.601,2813.308,2976.208,2537.131,2938.412,2203.284,2086.474,2853.333,2799.348
"US-CA",2379.998,2229.872,2468.625,2318.671,1667.926,3100.798,3294.607,3280.143,3163.653,2960.685,3067.781,3286.761,3246.889,2868.838,3227.002,3111.275,2181.981,2217.453,3168.074,3195.924,3150.391,2948.833,2163.179,2872.501,2610.655,1754.261,2508.408,2805.373,3310.327,3071.407,3298.397,3310.857,3197.721,3303.648,3185.756,3236.979,3078.677,2431.681,2096.476,2116.458,2459.205,2749.697,3214.591,3284.487,3049.828,2268.289,1485.374,2033.124,3075.117,2391.027,3084.497,3144.235,3113.309,3173.785,3294.088,3296.372,3062.681,3014.971,2384.395,3120.421,2539.4,2247.565,2399.513,1364.292,2318.376,3249.499,3350.342,3354.801,3249.287,2923.758,2382.494,2579.294,3336.828,3044.771,3372.357,3180.544,2456.207,2920.658,3333.079,3108.988,3248.117,2552.43,2832.968,2405.543,2777.052,2349.679,2518.841,2435.902,2851.49,3006.237,3344.438,2892.796,2625.305,2606.464,2416.105,2658.042,2308.56,1751.176,2610.981,3251.377,3263.154,3239.185,3249.463,3003.335,2751.102,1717.049,2117.615,2500.807,2383.969,2217.691,2137.819,2499.608,3354.937,3269.378,3378.457,3382.207,3236.518,1848.429,1996.662,2495.082,2528.596,2496.601,3223.313,3238.702,2518.593,3088.564,3371.007,3285.63,2960.293,3358.655,3268.229,3325.064,2699.732,1491.044,1674.98,1185.116,822.972,1096.921,1674.238,1672.765,1603.811,1520.721,1541.253,1523.855,1672.507,793.296,995.689,1625.682,1677.72,1483.963,1485.846,1688.18,1634.281,1581.357,1595.494,1677.928,1597.319,799.061,960.097,1644.75,1679.904,1627.661,1663.326,1508.498,1611.914,940.932,1422.921,1529.595,1563.7,1526.21,1694.001,1645.487,1696.424,1639.554,1681.722,1666.228,1533.642,904.616,1370.238,1583.563,1690.198,1582.51,1694.947,1635.303,846.524,1526.133,1695.468,1685.863,1630.606,1604.631,1622.046,1693.349,1645.132,1526.365,1569.141,1412.868,840.135,959.831,1648.012,1682.881,1623.061,1683.557,1628.939,1681.157,1666.162,982.658,1046.927,1546.437,1682.785,1637.307,1686.43,1620.869,1614.534,1667.833,1573.91,1487.667,1681.619,987.002,1132.805,1551.843,1692.739,1632.855,1687.15,1677.931,1369.77,839.895,800.964,1110.811,1689.545,1486.059,1671.026,1630.645,1597.652,1628.068,1278.695,1597.801,1599.991,438.597,784.013,856.606,1287.253,799.811,841.163,922.229,1674.327,1633.953,1683.581
"US-CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-CT",1366.126,620.61,643.005,1368.619,1342.326,1441.469,1464.628,1396.871,1435.437,1491.469,1372.527,1484.68,1477.462,1020.136,850.042,1159.749,1497.037,1421.445,1484.163,1292.391,750.18,1251.934,1453.64,1260.093,1447.607,1364.927,1087.699,1458.326,1509.611,1419.32,1496.738,1485.57,1442.531,1052.843,823.382,1489.541,1514.725,1416.949,1357.314,669.78,1198.434,1466.127,1500.558,1494.418,1455.788,1514.313,1435.926,1514.765,1517.951,1371.151,1512.889,615.298,1098.08,1464.341,1506.553,1497.98,1406.057,719.636,1459.379,1392.807,1519.136,1308.343,1518.458,1280.682,1516.725,1463.454,1502.444,1498.38,1453.911,959.234,1055.264,1513.415,1413.243,1365.236,1510.387,790.13,959.038,1454.548,1498.812,1493.112,1446.523,1497.311,1456.391,1501.411,1506.855,1407.918,1503.666,923.531,1032.094,1394.073,1463.357,1484.185,1440.365,940.798,771.358,1564.746,1568.502,1416.776,1560.557,1518.51,1566.8,1512.957,1086.929,1546.944,1502.156,1034.216,1130.862,1212.173,1403.129,1368.339,1560.238,918.593,947.99,1518.345,1561.523,1446.144,1506.738,1565.484,1425.006,1528.775,1573.286,1417.144,1571.839,927.458,1501.912,1438.058,1555.841,1499.191,1189.238,858.702,823.268,1571.9,1557.888,1455.944,1570.928,1518.162,1546.933,1512.62,1528.126,1287.047,1491.488,1015.837,1024.275,1568.639,1570.408,1418.239,1568.407,1006.68,998.334,1513.501,1554.382,1396.122,1500.677,1552.489,1434.929,1565.414,1547.921,1370.137,1564.866,984.611,915.374,1433.769,1456.26,1545.219,1492.737,957.78,1003.232,1568.713,1569.302,1416.474,1566.39,1386.998,1564.086,1511.809,1555.196,1548.421,1494.525,963.025,1278.219,1556.472,1395.804,1453.731,1553.691,870.97,1042.398,1157.289,1545.157,1465.939,1492.559,1541.912,1502.398,1553.644,1552.802,1405.299,1549.445,888.022,1440.352,1499.861,1540.401,1532.203,1488.432,974.762,1069.696,1558.346,1562.198,1408.16,1557.604,1503.52,1550.957,1500.266,1538.028,1528.48,1397.258,907.772,887.693,1539.556,1556.867,1406.987,1549.156,755.8,1035.404,1502.805,1537.561,1535.968,1486.081,1540.27,1500.314,1326.185,1555.862,1460.856,1559.892,985.158,912.169,1380.637,1544.05,1511.859,1492.689,664.016,1135.412,1512.255,1399.646,1413.362,1565.742,1513.226,1561.563,1261.548,1547.127
"US-DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
